test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
test_set_3,7,3,0.25075,0.10200809559941114,0.78752863,0.6666666666666666,0.0,0.25012518778167253,0.0,0.004,0.0,0.999,0.0,0.5529245,nan,0.8098726,nan
test_set_3,9,3,0.251,0.10295320476759058,0.79082066,0.6666666666666666,0.0,0.2500626409421198,0.0,0.006,0.0,0.998,0.0,0.51542944,nan,0.81506985,nan
test_set_3,19,3,0.25025,0.10053901800241054,0.80065,0.5,0.0,0.25012506253126565,0.0,0.001,0.0,1.0,0.0,0.51771855,nan,0.82022375,nan
test_set_3,0,5,0.25025,0.10051950450030066,0.82184434,1.0,0.0,0.25006251562890724,0.0,0.001,0.0,1.0,0.0,0.55524224,nan,0.8320103,nan
test_set_3,1,5,0.25025,0.10097599992344473,0.81881297,0.5,0.0,0.25,0.0,0.002,0.0,0.999,0.0,0.5361116,nan,0.82679933,nan
test_set_3,3,5,0.25025,0.10053901800241054,0.82154024,0.5,0.0,0.25012506253126565,0.0,0.001,0.0,1.0,0.0,0.512206,nan,0.8285987,nan
test_set_3,5,5,0.251,0.10207209592375095,0.82190347,1.0,0.0,0.2502502502502503,0.0,0.004,0.0,1.0,0.0,0.5105623,nan,0.83059436,nan
test_set_3,7,5,0.25025,0.10051950450030066,0.8212213,1.0,0.0,0.25006251562890724,0.0,0.001,0.0,1.0,0.0,0.59862,nan,0.82955796,nan
test_set_3,9,5,0.25025,0.1009950248756219,0.8223792,0.4,0.0,0.2500625782227785,0.0,0.002,0.0,0.999,0.0,0.5327362,nan,0.8310171,nan
test_set_3,19,5,0.25,0.10049751243781094,0.8253564,0.2,0.0,0.2500625782227785,0.0,0.001,0.0,0.999,0.0,0.5547998,nan,0.8343148,nan
test_set_3,0,10,0.248,0.12716764842567693,0.7396497,0.21971830985915494,0.0,0.2507544581618656,0.0,0.078,0.0,0.914,0.0,0.6011529,nan,0.7571172,nan
