test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
3,1,1,0.56725,0.4955235871338214,0.6593065,0.5181655747468732,0.3364485981308411,0.5677570093457944,0.6458026509572902,0.87,0.036,0.486,0.877,0.77433705,0.43666404,0.6508269,0.71512
3,3,1,0.50025,0.44831754596510937,0.6327686,0.5707635009310987,0.22178988326848248,0.5772787318361955,0.4675732217573222,0.613,0.057,0.437,0.894,0.6956291,0.5148502,0.6174154,0.7279133
3,5,1,0.4,0.3813550513587437,0.6244289,0.6698113207547169,0.2056818181818182,0.5785536159600998,0.371,0.213,0.181,0.464,0.742,0.56204927,0.6040568,0.61763406,0.6909178
3,7,1,0.3595,0.3446752161575394,0.6372594,0.6666666666666666,0.20014398848092152,0.5654692931633836,0.35561160151324084,0.108,0.278,0.488,0.564,0.5361385,0.6698093,0.63800037,0.64436615
3,9,1,0.34225,0.33215474026620084,0.6457843,0.6551724137931034,0.20011370096645822,0.541622760800843,0.35571054925893636,0.095,0.352,0.514,0.408,0.5337029,0.68682617,0.655451,0.6065767
3,19,1,0.3285,0.3080503284081247,0.6830247,0.7218934911242604,0.2057649667405765,0.4945424013434089,0.36103896103896105,0.122,0.464,0.589,0.139,0.52312016,0.71385205,0.6833547,0.50592214
3,0,3,0.5745,0.5378634281945187,0.6261614,0.7205731832139202,0.30030959752321984,0.4566831683168317,0.7001845018450185,0.704,0.097,0.738,0.759,0.68304574,0.48019484,0.6976304,0.6469339
3,1,3,0.583,0.5286454977890649,0.64306164,0.6441251056635672,0.3150684931506849,0.5067193675889328,0.6451612903225806,0.762,0.069,0.641,0.86,0.7246419,0.4718576,0.6804871,0.6901356
3,3,3,0.48375,0.4504769502574294,0.63814723,0.6705107084019769,0.2402464065708419,0.5464876033057852,0.4551083591331269,0.407,0.117,0.529,0.882,0.65050286,0.5254133,0.67405117,0.73068696
3,5,3,0.375,0.3323638977071112,0.6662168,0.8913043478260869,0.20368818105616093,0.57307249712313,0.379492600422833,0.041,0.243,0.498,0.718,0.546845,0.6377331,0.6932031,0.6988737
